,Unnamed: 0,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
2614,28540,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3b79fd76""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
2615,28542,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@43599640""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
2616,28549,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6a57ae10""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2617,28560,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7b7fdc8""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2618,28562,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@51c693d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2619,28596,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@a82c5f1""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2620,28598,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@766653e6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2621,28610,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@51c693d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2622,28615,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@28b46423""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2623,28623,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@28b46423""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2624,28649,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7fc4780b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2625,28656,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4e07b95f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2626,28688,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@37fb0bed""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2627,28702,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@37fb0bed""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2628,28709,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@24c4ddae""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2629,28729,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@266374ef""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2630,28742,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@266374ef""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2631,28751,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@13b3d178""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2632,28765,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5d99c6b5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2633,28771,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@a37aefe""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2634,28785,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@420a85c4""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2635,28792,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4bf48f6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2636,28814,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@62833051""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2637,28828,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1c39680d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2638,28831,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1c852c0f""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2639,28837,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5d43661b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2640,28844,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@12299890""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
2641,28866,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2fba3fc4""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2642,28886,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2b72cb8a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2643,28896,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@11d8ae8b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2644,28898,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@59e2d8e3""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
2645,28899,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7f8a9499""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2646,28902,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@479cbee5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2647,28916,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@59e2d8e3""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
2648,28926,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@479cbee5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2649,28929,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@20d7d6fb""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2650,28938,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@20d7d6fb""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2651,28946,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4ef782af""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2652,28964,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@14a50707""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2653,28986,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d518b32""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2654,28993,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d518b32""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2655,29009,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7354b8c5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
2656,29019,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@329dbdbf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2657,29028,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e3c0e40""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2658,29029,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7354b8c5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2659,29050,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4bd31064""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2660,29058,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4bd31064""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2661,29068,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@50313382""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2662,29071,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1cb346ea""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
2663,29076,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@50313382""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2664,29086,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@52815fa3""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2665,29109,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6736fa8d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2666,29111,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4c012563""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2667,29118,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@52815fa3""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2668,29132,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4a00d9cf""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2669,29139,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@39d76cb5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2670,29150,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4a00d9cf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2671,29180,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@589da3f3""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2672,29185,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4dd6fd0a""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2673,29212,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5456afaa""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2674,29216,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6692b6c6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2675,29235,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@bb9e6dc""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2676,29249,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6692b6c6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2677,29258,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1cd629b3""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2678,29298,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@651aed93""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2679,29323,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@42b3b079""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2680,29359,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@895e367""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2681,29362,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@895e367""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2682,29380,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7a3793c7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2683,29395,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@463fd068""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2684,29397,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1b266842""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2685,29433,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1130520d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2686,29434,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5f77d0f9""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2687,29447,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5f77d0f9""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2688,29466,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@352ff4da""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2689,29473,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4e928fbf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2690,29482,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@f627d13""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2691,29487,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@748741cb""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2692,29495,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3224a577""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2693,29498,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3e44f2a5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2694,29505,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2e32ccc5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2695,29521,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@295cf707""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2696,29525,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@495ee280""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2697,29536,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5f0fd5a0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2698,29538,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6ea2bc93""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2699,29548,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@64e7619d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
2700,29553,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4fa1c212""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2701,29560,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4f4c4b1a""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2702,29565,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@723e88f9""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2703,29567,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3116c353""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
2704,29577,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@64e7619d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2705,29591,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@495ee280""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2706,29596,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5f0fd5a0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2707,29601,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2a7ed1f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2708,29615,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2cb2fc20""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2709,29649,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3fa247d1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2710,29664,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@407a7f2a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2711,29670,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4ea5b703""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2712,29680,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7b993c65""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2713,29682,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6f1c29b7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2714,29705,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d6025c5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2715,29723,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7f284218""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2716,29734,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7b993c65""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2717,29736,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@37911f88""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
2718,29741,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7f284218""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2719,29764,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@23202fce""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2720,29772,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1df8b5b8""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2721,29774,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@23202fce""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
2722,29792,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7d94beb9""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2723,29793,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@560348e6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2724,29794,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@23202fce""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2725,29795,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@560348e6""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
2726,29815,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@239105a8""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2727,29817,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3fce8fd9""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2728,29822,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@72ade7e3""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2729,29843,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@609bcfb6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2730,29889,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@72ef8d15""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2731,29892,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@51a9ad5e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2732,29902,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5f20155b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
2733,29905,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5e21e98f""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2734,29913,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6aa8e115""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2735,29926,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@39b43d60""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
2736,29942,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@42e25b0b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
